
gyro-data [639]: x:-0.005026, z:-0.033675, motor-0:0.000000, motor-1:0.350000
gyro-data [640]: x:-0.114745, z:-0.088853, motor-0:0.000000, motor-1:0.350000
gyro-data [641]: x:0.102583, z:0.108513, motor-0:0.000000, motor-1:0.350000
gyro-data [642]: x:0.042449, z:0.027869, motor-0:0.000000, motor-1:0.350000
gyro-data [643]: x:-0.110525, z:-0.106892, motor-0:0.000000, motor-1:0.350000
gyro-data [644]: x:0.009744, z:0.038480, motor-0:0.000000, motor-1:0.350000
gyro-data [645]: x:0.083593, z:0.071374, motor-0:0.000000, motor-1:0.350000
gyro-data [646]: x:-0.068326, z:-0.088853, motor-0:0.000000, motor-1:0.350000
gyro-data [647]: x:0.059329, z:0.072436, motor-0:0.000000, motor-1:0.350000
gyro-data [648]: x:0.079373, z:0.060763, motor-0:0.000000, motor-1:0.350000
gyro-data [649]: x:-0.053556, z:-0.079303, motor-0:0.000000, motor-1:0.350000
gyro-data [650]: x:-0.024016, z:0.010891, motor-0:0.000000, motor-1:0.350000
gyro-data [651]: x:0.088868, z:0.078802, motor-0:0.000000, motor-1:0.350000
gyro-data [652]: x:-0.085205, z:-0.100525, motor-0:0.000000, motor-1:0.350000
gyro-data [653]: x:-0.088370, z:-0.052775, motor-0:0.000000, motor-1:0.350000
gyro-data [654]: x:0.109968, z:0.106391, motor-0:0.000000, motor-1:0.350000
gyro-data [655]: x:-0.006081, z:-0.028370, motor-0:0.000000, motor-1:0.350000
gyro-data [656]: x:-0.111580, z:-0.075059, motor-0:0.000000, motor-1:0.350000
gyro-data [657]: x:0.111023, z:0.105330, motor-0:0.000000, motor-1:0.350000
gyro-data [658]: x:0.038229, z:0.009830, motor-0:0.000000, motor-1:0.350000
gyro-data [659]: x:-0.110525, z:-0.095220, motor-0:0.000000, motor-1:0.350000
gyro-data [660]: x:0.109968, z:0.109574, motor-0:0.000000, motor-1:0.350000
gyro-data [661]: x:0.069879, z:0.042725, motor-0:0.000000, motor-1:0.350000
gyro-data [662]: x:-0.114745, z:-0.095220, motor-0:0.000000, motor-1:0.350000
gyro-data [663]: x:0.111023, z:0.107452, motor-0:0.000000, motor-1:0.350000
gyro-data [664]: x:0.060384, z:0.037419, motor-0:0.000000, motor-1:0.350000
gyro-data [665]: x:-0.099975, z:-0.113259, motor-0:0.000000, motor-1:0.350000
gyro-data [666]: x:0.051944, z:0.083047, motor-0:0.000000, motor-1:0.350000
gyro-data [667]: x:-0.034566, z:-0.059142, motor-0:0.000000, motor-1:0.350000
gyro-data [668]: x:-0.122130, z:-0.085670, motor-0:0.000000, motor-1:0.350000
gyro-data [669]: x:-0.086260, z:0.044847, motor-0:0.000000, motor-1:0.350000
gyro-data [670]: x:0.089923, z:-0.020942, motor-0:0.000000, motor-1:0.350000
gyro-data [671]: x:-0.214970, z:-0.096281, motor-0:0.000000, motor-1:0.350000


gyro-data [705]: x:0.105748, z:0.022563, motor-0:0.000000, motor-1:0.000000
gyro-data [706]: x:0.032954, z:0.000280, motor-0:0.000000, motor-1:0.017523
gyro-data [707]: x:-0.005026, z:0.009830, motor-0:0.000000, motor-1:0.035036
gyro-data [708]: x:-0.003971, z:0.003463, motor-0:0.000000, motor-1:0.052551
gyro-data [709]: x:-0.018741, z:0.003463, motor-0:0.000000, motor-1:0.070069
gyro-data [710]: x:-0.003971, z:0.002402, motor-0:0.000000, motor-1:0.087592
gyro-data [711]: x:0.007634, z:0.004525, motor-0:0.000000, motor-1:0.095860
gyro-data [712]: x:-0.010301, z:0.000280, motor-0:0.000000, motor-1:0.104132
gyro-data [713]: x:0.002359, z:-0.002903, motor-0:0.000000, motor-1:0.112403
gyro-data [714]: x:0.023459, z:0.013013, motor-0:0.000000, motor-1:0.120679
gyro-data [715]: x:-0.039841, z:-0.005025, motor-0:0.000000, motor-1:0.128948
gyro-data [716]: x:-0.027181, z:-0.001842, motor-0:0.000000, motor-1:0.137225
gyro-data [717]: x:0.022404, z:0.010891, motor-0:0.000000, motor-1:0.145492
gyro-data [718]: x:-0.000806, z:0.002402, motor-0:0.000000, motor-1:0.153766
gyro-data [719]: x:0.051944, z:0.022563, motor-0:0.000000, motor-1:0.162036
gyro-data [720]: x:-0.040896, z:-0.013514, motor-0:0.000000, motor-1:0.170308
gyro-data [721]: x:0.056164, z:0.018319, motor-0:0.000000, motor-1:0.178583
gyro-data [722]: x:-0.035621, z:-0.016698, motor-0:0.000000, motor-1:0.186855
gyro-data [723]: x:0.051944, z:0.023625, motor-0:0.000000, motor-1:0.195124
gyro-data [724]: x:-0.041951, z:-0.024125, motor-0:0.000000, motor-1:0.203395
gyro-data [725]: x:0.079373, z:0.024686, motor-0:0.000000, motor-1:0.211672
gyro-data [726]: x:-0.026126, z:-0.015637, motor-0:0.000000, motor-1:0.219944
gyro-data [727]: x:0.071988, z:0.025747, motor-0:0.000000, motor-1:0.228214
gyro-data [728]: x:-0.036676, z:-0.020942, motor-0:0.000000, motor-1:0.236483
gyro-data [729]: x:0.043504, z:0.009830, motor-0:0.000000, motor-1:0.240572
gyro-data [730]: x:0.007634, z:0.003463, motor-0:0.000000, motor-1:0.244659
gyro-data [731]: x:-0.074656, z:-0.049592, motor-0:0.000000, motor-1:0.248746
gyro-data [732]: x:0.048779, z:0.027869, motor-0:0.000000, motor-1:0.252833
gyro-data [733]: x:-0.060941, z:-0.038981, motor-0:0.000000, motor-1:0.256921
gyro-data [734]: x:0.089923, z:0.038480, motor-0:0.000000, motor-1:0.261009
gyro-data [735]: x:-0.007136, z:0.003463, motor-0:0.000000, motor-1:0.265095
gyro-data [736]: x:-0.032456, z:-0.029431, motor-0:0.000000, motor-1:0.269182
gyro-data [737]: x:0.084648, z:0.054397, motor-0:0.000000, motor-1:0.273271
gyro-data [738]: x:-0.070436, z:-0.042164, motor-0:0.000000, motor-1:0.276325
gyro-data [739]: x:0.034009, z:0.013013, motor-0:0.000000, motor-1:0.279379
gyro-data [740]: x:-0.071491, z:-0.053836, motor-0:0.000000, motor-1:0.282432
gyro-data [741]: x:-0.079930, z:-0.065509, motor-0:0.000000, motor-1:0.285488
gyro-data [742]: x:0.093088, z:0.059702, motor-0:0.000000, motor-1:0.288542
gyro-data [743]: x:-0.061996, z:-0.036859, motor-0:0.000000, motor-1:0.291595
gyro-data [744]: x:0.079373, z:0.053336, motor-0:0.000000, motor-1:0.294650
gyro-data [745]: x:0.044559, z:0.041663, motor-0:0.000000, motor-1:0.297705
gyro-data [746]: x:-0.086260, z:-0.071875, motor-0:0.000000, motor-1:0.300760
gyro-data [747]: x:0.095198, z:0.068191, motor-0:0.000000, motor-1:0.303812
gyro-data [748]: x:0.035064, z:0.031052, motor-0:0.000000, motor-1:0.306867
gyro-data [749]: x:-0.101030, z:-0.080364, motor-0:0.000000, motor-1:0.309922
gyro-data [750]: x:0.064604, z:0.044847, motor-0:0.000000, motor-1:0.312975
gyro-data [751]: x:0.017129, z:0.021502, motor-0:0.000000, motor-1:0.316030
gyro-data [752]: x:0.099418, z:0.076680, motor-0:0.000000, motor-1:0.319085
gyro-data [753]: x:0.096253, z:0.073497, motor-0:0.000000, motor-1:0.322139
gyro-data [754]: x:-0.017686, z:-0.011392, motor-0:0.000000, motor-1:0.325193
gyro-data [755]: x:-0.079930, z:-0.063386, motor-0:0.000000, motor-1:0.328247
gyro-data [756]: x:0.108913, z:0.080924, motor-0:0.000000, motor-1:0.331302
gyro-data [757]: x:-0.017686, z:-0.023064, motor-0:0.000000, motor-1:0.334358
gyro-data [758]: x:-0.080985, z:-0.058081, motor-0:0.000000, motor-1:0.337409
gyro-data [759]: x:0.047724, z:0.040602, motor-0:0.000000, motor-1:0.340464
gyro-data [760]: x:-0.031401, z:-0.033675, motor-0:0.000000, motor-1:0.343519
gyro-data [761]: x:-0.053556, z:-0.035798, motor-0:0.000000, motor-1:0.346573
gyro-data [762]: x:0.114188, z:0.087291, motor-0:0.000000, motor-1:0.349627
gyro-data [763]: x:-0.072546, z:-0.076120, motor-0:0.000000, motor-1:0.350000
gyro-data [764]: x:-0.050391, z:-0.033675, motor-0:0.000000, motor-1:0.350000
gyro-data [765]: x:0.114188, z:0.091536, motor-0:0.000000, motor-1:0.350000
gyro-data [766]: x:0.007634, z:-0.003964, motor-0:0.000000, motor-1:0.350000
gyro-data [767]: x:-0.115800, z:-0.094159, motor-0:0.000000, motor-1:0.350000
gyro-data [768]: x:0.070933, z:0.076680, motor-0:0.000000, motor-1:0.350000
gyro-data [769]: x:0.030844, z:0.019380, motor-0:0.000000, motor-1:0.350000
gyro-data [770]: x:-0.129515, z:-0.101586, motor-0:0.000000, motor-1:0.350000
gyro-data [771]: x:0.065659, z:0.075619, motor-0:0.000000, motor-1:0.350000
gyro-data [772]: x:0.054054, z:0.053336, motor-0:0.000000, motor-1:0.350000
gyro-data [773]: x:-0.110525, z:-0.104770, motor-0:0.000000, motor-1:0.350000
gyro-data [774]: x:0.056164, z:0.067130, motor-0:0.000000, motor-1:0.350000
gyro-data [775]: x:-0.028236, z:-0.043225, motor-0:0.000000, motor-1:0.350000
gyro-data [776]: x:-0.098920, z:-0.100525, motor-0:0.000000, motor-1:0.350000
gyro-data [777]: x:-0.009246, z:0.011952, motor-0:0.000000, motor-1:0.350000
gyro-data [778]: x:0.065659, z:0.065008, motor-0:0.000000, motor-1:0.350000
gyro-data [779]: x:-0.070436, z:-0.092036, motor-0:0.000000, motor-1:0.350000
gyro-data [780]: x:-0.048281, z:-0.029431, motor-0:0.000000, motor-1:0.350000
gyro-data [781]: x:0.078318, z:0.077741, motor-0:0.000000, motor-1:0.350000
gyro-data [782]: x:-0.065161, z:-0.082486, motor-0:0.000000, motor-1:0.350000
gyro-data [783]: x:-0.076765, z:-0.058081, motor-0:0.000000, motor-1:0.350000
gyro-data [784]: x:0.114188, z:0.105330, motor-0:0.000000, motor-1:0.350000
gyro-data [785]: x:-0.046171, z:-0.071875, motor-0:0.000000, motor-1:0.350000
gyro-data [786]: x:0.017129, z:0.016197, motor-0:0.000000, motor-1:0.350000
gyro-data [787]: x:0.062494, z:0.055458, motor-0:0.000000, motor-1:0.350000
gyro-data [788]: x:0.008689, z:-0.010331, motor-0:0.000000, motor-1:0.350000
gyro-data [789]: x:-0.105250, z:-0.099464, motor-0:0.000000, motor-1:0.350000
gyro-data [790]: x:0.122628, z:0.103208, motor-0:0.000000, motor-1:0.350000
gyro-data [791]: x:-0.013466, z:-0.031553, motor-0:0.000000, motor-1:0.350000
gyro-data [792]: x:-0.105250, z:-0.110075, motor-0:0.000000, motor-1:0.350000
gyro-data [793]: x:0.064604, z:0.060763, motor-0:0.000000, motor-1:0.350000
gyro-data [794]: x:0.047724, z:0.035297, motor-0:0.000000, motor-1:0.350000
gyro-data [795]: x:-0.093645, z:-0.104770, motor-0:0.000000, motor-1:0.350000
gyro-data [796]: x:0.000249, z:0.011952, motor-0:0.000000, motor-1:0.350000
gyro-data [797]: x:0.062494, z:0.063947, motor-0:0.000000, motor-1:0.350000
gyro-data [798]: x:-0.077820, z:-0.087792, motor-0:0.000000, motor-1:0.350000
gyro-data [799]: x:0.086758, z:0.087291, motor-0:0.000000, motor-1:0.350000
gyro-data [800]: x:0.107858, z:0.094719, motor-0:0.000000, motor-1:0.350000
gyro-data [801]: x:-0.111580, z:-0.107953, motor-0:0.000000, motor-1:0.350000
gyro-data [802]: x:0.024514, z:0.025747, motor-0:0.000000, motor-1:0.350000
gyro-data [803]: x:0.107858, z:0.100024, motor-0:0.000000, motor-1:0.350000
gyro-data [804]: x:-0.051446, z:-0.067631, motor-0:0.000000, motor-1:0.350000
gyro-data [805]: x:-0.107360, z:-0.092036, motor-0:0.000000, motor-1:0.350000
gyro-data [806]: x:0.115243, z:0.105330, motor-0:0.000000, motor-1:0.350000
gyro-data [807]: x:-0.020851, z:-0.026248, motor-0:0.000000, motor-1:0.350000
gyro-data [808]: x:-0.108415, z:-0.098403, motor-0:0.000000, motor-1:0.350000
gyro-data [809]: x:0.112078, z:0.100024, motor-0:0.000000, motor-1:0.350000
gyro-data [810]: x:0.031899, z:0.039541, motor-0:0.000000, motor-1:0.350000
gyro-data [811]: x:0.062494, z:0.065008, motor-0:0.000000, motor-1:0.350000
gyro-data [812]: x:0.066714, z:0.062886, motor-0:0.000000, motor-1:0.350000
gyro-data [813]: x:0.004469, z:-0.007148, motor-0:0.000000, motor-1:0.350000
gyro-data [814]: x:-0.104195, z:-0.106892, motor-0:0.000000, motor-1:0.350000
gyro-data [815]: x:0.063549, z:0.061825, motor-0:0.000000, motor-1:0.350000
gyro-data [816]: x:0.079373, z:0.078802, motor-0:0.000000, motor-1:0.350000
gyro-data [817]: x:-0.111580, z:-0.104770, motor-0:0.000000, motor-1:0.350000
gyro-data [818]: x:0.073043, z:0.068191, motor-0:0.000000, motor-1:0.350000
gyro-data [819]: x:0.066714, z:0.063947, motor-0:0.000000, motor-1:0.350000
gyro-data [820]: x:-0.088370, z:-0.096281, motor-0:0.000000, motor-1:0.350000
gyro-data [821]: x:0.054054, z:0.057580, motor-0:0.000000, motor-1:0.350000
gyro-data [822]: x:0.092033, z:0.092597, motor-0:0.000000, motor-1:0.350000
gyro-data [823]: x:-0.000806, z:0.006647, motor-0:0.000000, motor-1:0.350000
gyro-data [824]: x:-0.073601, z:-0.048531, motor-0:0.000000, motor-1:0.350000
gyro-data [825]: x:0.055109, z:0.063947, motor-0:0.000000, motor-1:0.350000
gyro-data [826]: x:-0.038786, z:-0.055959, motor-0:0.000000, motor-1:0.350000
gyro-data [827]: x:-0.089425, z:-0.070814, motor-0:0.000000, motor-1:0.350000
gyro-data [828]: x:0.090978, z:0.096841, motor-0:0.000000, motor-1:0.350000
gyro-data [829]: x:-0.022961, z:-0.043225, motor-0:0.000000, motor-1:0.350000
gyro-data [830]: x:-0.104195, z:-0.096281, motor-0:0.000000, motor-1:0.350000
gyro-data [831]: x:0.081483, z:0.086230, motor-0:0.000000, motor-1:0.350000
gyro-data [832]: x:0.018184, z:0.011952, motor-0:0.000000, motor-1:0.350000
gyro-data [833]: x:-0.118965, z:-0.106892, motor-0:0.000000, motor-1:0.350000
gyro-data [834]: x:0.103638, z:0.114880, motor-0:0.000000, motor-1:0.350000
gyro-data [835]: x:-0.047226, z:-0.054898, motor-0:0.000000, motor-1:0.350000
gyro-data [836]: x:-0.096810, z:-0.105831, motor-0:0.000000, motor-1:0.350000
gyro-data [837]: x:-0.010301, z:0.005586, motor-0:0.000000, motor-1:0.350000
gyro-data [838]: x:0.082538, z:0.076680, motor-0:0.000000, motor-1:0.350000
gyro-data [839]: x:-0.071491, z:-0.101586, motor-0:0.000000, motor-1:0.350000
gyro-data [840]: x:0.073043, z:0.071374, motor-0:0.000000, motor-1:0.350000
gyro-data [841]: x:0.102583, z:0.089413, motor-0:0.000000, motor-1:0.350000
gyro-data [842]: x:-0.057776, z:-0.086731, motor-0:0.000000, motor-1:0.350000
gyro-data [843]: x:-0.055666, z:-0.028370, motor-0:0.000000, motor-1:0.350000
gyro-data [844]: x:0.077263, z:0.079863, motor-0:0.000000, motor-1:0.350000
gyro-data [845]: x:-0.105250, z:-0.096281, motor-0:0.000000, motor-1:0.350000
gyro-data [846]: x:-0.073601, z:-0.044286, motor-0:0.000000, motor-1:0.350000
gyro-data [847]: x:0.097308, z:0.105330, motor-0:0.000000, motor-1:0.350000
gyro-data [848]: x:-0.029291, z:-0.048531, motor-0:0.000000, motor-1:0.350000
gyro-data [849]: x:-0.107360, z:-0.092036, motor-0:0.000000, motor-1:0.350000
gyro-data [850]: x:0.092033, z:0.097902, motor-0:0.000000, motor-1:0.350000
gyro-data [851]: x:-0.084150, z:-0.096281, motor-0:0.000000, motor-1:0.350000
gyro-data [852]: x:-0.102085, z:-0.081425, motor-0:0.000000, motor-1:0.350000
gyro-data [853]: x:0.101528, z:0.097902, motor-0:0.000000, motor-1:0.350000
gyro-data [854]: x:0.019239, z:0.038480, motor-0:0.000000, motor-1:0.350000
gyro-data [855]: x:-0.142175, z:-0.092036, motor-0:0.000000, motor-1:0.350000
gyro-data [856]: x:0.059329, z:0.091536, motor-0:0.000000, motor-1:0.350000
gyro-data [857]: x:0.049834, z:0.032113, motor-0:0.000000, motor-1:0.350000
gyro-data [858]: x:-0.074656, z:-0.098403, motor-0:0.000000, motor-1:0.350000
gyro-data [859]: x:0.078318, z:0.080924, motor-0:0.000000, motor-1:0.350000
gyro-data [860]: x:0.082538, z:0.085169, motor-0:0.000000, motor-1:0.350000
gyro-data [861]: x:-0.161165, z:-0.113259, motor-0:0.000000, motor-1:0.350000
gyro-data [862]: x:-0.124240, z:0.034236, motor-0:0.000000, motor-1:0.350000
gyro-data [863]: x:0.049834, z:0.050152, motor-0:0.000000, motor-1:0.350000
gyro-data [864]: x:-0.022961, z:-0.112198, motor-0:0.000000, motor-1:0.350000



gyro-data [904]: x:0.199643, z:0.020441, motor-0:0.000000, motor-1:0.000000
gyro-data [905]: x:0.222852, z:0.013013, motor-0:0.000000, motor-1:0.017527
gyro-data [906]: x:0.158498, z:0.017258, motor-0:0.000000, motor-1:0.035039
